iter	Passed	Remaining
0	17	17422
1	34	17265
2	50	16782
3	65	16421
4	84	16857
5	142	23608
6	191	27126
7	279	34701
8	369	40666
9	474	46955
10	566	50930
11	648	53372
12	727	55209
13	776	54656
14	817	53704
15	860	52937
16	904	52298
17	942	51426
18	991	51200
19	1034	50701
20	1072	50018
21	1114	49554
22	1153	49015
23	1195	48617
24	1238	48302
25	1282	48030
26	1323	47695
27	1363	47348
28	1403	47000
29	1447	46790
30	1488	46524
31	1531	46325
32	1577	46217
33	1613	45850
34	1658	45726
35	1703	45611
36	1743	45390
37	1784	45168
38	1825	44978
39	1869	44857
40	1911	44716
41	1959	44684
42	2000	44516
43	2042	44377
44	2087	44306
45	2124	44064
46	2169	43987
47	2210	43835
48	2250	43671
49	2367	44988
50	2414	44920
51	2451	44683
52	2496	44602
53	2535	44415
54	2574	44242
55	2617	44128
56	2660	44012
57	2701	43880
58	2742	43736
59	2789	43707
60	2830	43567
61	2872	43463
62	2916	43371
63	2956	43243
64	2997	43114
65	3039	43012
66	3078	42872
67	3121	42780
68	3166	42728
69	3207	42608
70	3248	42508
71	3293	42446
72	3335	42359
73	3379	42293
74	3422	42209
75	3507	42639
76	3573	42840
77	3641	43046
78	3708	43231
79	3786	43547
80	3860	43801
81	3930	43996
82	3995	44138
83	4058	44258
84	4122	44377
85	4183	44458
86	4249	44592
87	4309	44664
88	4379	44830
89	4445	44948
90	4518	45132
91	4589	45292
92	4662	45472
93	4737	45662
94	4806	45789
95	4869	45858
96	4932	45920
97	5008	46094
98	5099	46414
99	5163	46469
100	5238	46628
101	5317	46818
102	5396	46995
103	5465	47087
104	5529	47136
105	5592	47167
106	5671	47333
107	5737	47386
108	5799	47408
109	5869	47492
110	5927	47474
111	6033	47836
112	6109	47955
113	6175	47993
114	6238	48010
115	6328	48230
116	6417	48430
117	6489	48508
118	6555	48532
119	6623	48575
120	6692	48620
121	6756	48621
122	6829	48692
123	6900	48748
124	6963	48745
125	7015	48661
126	7053	48487
127	7096	48344
128	7136	48182
129	7177	48037
130	7223	47917
131	7271	47813
132	7319	47717
133	7361	47577
134	7403	47434
135	7447	47312
136	7488	47170
137	7558	47211
138	7628	47251
139	7707	47343
140	7777	47382
141	7859	47492
142	7948	47633
143	8027	47718
144	8107	47806
145	8186	47882
146	8256	47910
147	8325	47930
148	8390	47924
149	8459	47939
150	8562	48144
151	8627	48131
152	8692	48122
153	8765	48155
154	8828	48130
155	8891	48103
156	8955	48086
157	9027	48106
158	9105	48163
159	9175	48169
160	9241	48160
161	9306	48142
162	9372	48125
163	9432	48084
164	9499	48075
165	9575	48109
166	9643	48100
167	9710	48090
168	9771	48048
169	9840	48045
170	9909	48039
171	9976	48024
172	10042	48004
173	10102	47960
174	10173	47959
175	10233	47912
176	10305	47919
177	10383	47949
178	10447	47918
179	10524	47946
180	10594	47939
181	10675	47982
182	10741	47956
183	10805	47919
184	10879	47927
185	10940	47877
186	11014	47886
187	11081	47860
